Kata/Kalimat	Keterangan	Tindakan
vent	Lubang kloaka (vent)	🔵 Terjemahkan: vent (bisa dipertahankan ilmiah)
tip	Ujung	🔵 Terjemahkan: ujung
red underpart	Bagian bawah merah	🔵 Terjemahkan: bagian bawah merah
jaring	Net (kalau konteks, perlu cek)	🔵 Terjemahkan: jaring
wingbar/s	Belang sayap	🔵 Terjemahkan: belang sayap
wingulars	Tidak dikenal, kemungkinan typo → mungkin wing coverts?	⚠️ Klarifikasi: bisa diabaikan atau perbaiki
wiskers	Typo → whiskers (kumis hewan)	⚠️ Perbaiki: kumis
yellowbill	Paruh kuning	🔵 Terjemahkan: paruh kuning
adult	Dewasa	🔵 Terjemahkan: dewasa
aquatic	Hidup di air	🔵 Terjemahkan: akuatik
dail	Typo → tidak jelas → mungkin maksudnya tail (ekor)?	⚠️ Perbaiki bila perlu
downward curve	Lengkung ke bawah	🔵 Terjemahkan: lengkungan ke bawah
pointed beak	Paruh runcing	🔵 Terjemahkan: paruh runcing
pointy beak	Paruh runcing	🔵 Terjemahkan: paruh runcing
superciliary	(Benar) → alur alis burung	✅ Pertahankan superciliary
white rump	Pantat putih	🔵 Terjemahkan: pantat putih
white smattered	Bertaburan putih	🔵 Terjemahkan: bertaburan putih
white tips	Ujung putih	🔵 Terjemahkan: ujung putih
white trim	Pinggiran putih	🔵 Terjemahkan: pinggiran putih
with a greyish shade on its back and coverts	Dengan bayangan keabu-abuan di punggung dan bulu penutup	🔵 Terjemahkan: dengan bayangan keabu-abuan di punggung dan bulu penutup
finch	Burung pipit	🔵 Terjemahkan: pipit
    
