english,indo,english_matches,indo_matches
"a bright blue bird with a ruffled crown and short, pointy bill, the tips of the wings are black and blue, black superciliary.","burung berwarna biru cerah dengan mahkota acak-acakan dan paruh pendek runcing, ujung sayap berwarna hitam biru, superciliary berwarna hitam.",['superciliary'],['superciliary']
this little bird is almost all blue with a darker wing and black superciliary.,burung kecil ini hampir seluruhnya berwarna biru dengan sayap yang lebih gelap dan superciliary berwarna hitam.,['superciliary'],['superciliary']
"bright blue, this bird has a gray beak and black superciliary.","berwarna biru cerah, burung ini memiliki paruh berwarna abu-abu dan superciliary berwarna hitam.",['superciliary'],['superciliary']
this bird is mostly blue with a black superciliary and wingbar.,burung ini sebagian besar berwarna biru dengan superciliary dan garis sayap berwarna hitam.,['superciliary'],['superciliary']
"an all over small blue bird that has a darker shade of blue on its superciliary, eyebrow and throat, and a lighter blue on its side, breast, nape and back.","seekor burung kecil berwarna biru yang memiliki warna biru lebih gelap pada superciliary, alis dan tenggorokannya, serta warna biru muda pada bagian samping, dada, tengkuk dan punggungnya.",['superciliary'],['superciliary']
this bird is mostly bright blue with black superciliary patches.,burung ini sebagian besar berwarna biru cerah dengan bercak superciliary hitam.,['superciliary'],['superciliary']
this bird is mostly blue with black superciliaries and primaries.,burung ini sebagian besar berwarna biru dengan superciliary dan bulu primer berwarna hitam.,['superciliaries'],['superciliary']
"this bird has a blue crown, black superceliary, and blue belly.","burung ini memiliki mahkota berwarna biru, superceliary berwarna hitam, dan perut berwarna biru.",['superceliary'],['superceliary']
"this bird has a wide blue bill, a black superciliary, and a royal blue crown, throat, breast, and belly.","burung ini memiliki paruh lebar berwarna biru, superciliary berwarna hitam, dan mahkota, tenggorokan, dada, dan perut berwarna biru tua.",['superciliary'],['superciliary']
"this magnificent fellow is covered in bright blue, and has a black superciliary.","makhluk luar biasa ini ditutupi dengan warna biru cerah, dan memiliki superciliary hitam.",['superciliary'],['superciliary']
"a bright blue little bird with black superciliary, dark grey wing tips and tail, and a shiny small light grey pointed beak.","seekor burung kecil berwarna biru cerah dengan superciliary hitam, ujung sayap dan ekor berwarna abu-abu tua, dan paruh runcing kecil berwarna abu-abu muda mengkilat.",['superciliary'],['superciliary']
this bird is bright blue with a black superciliary and little pointy bill.,burung ini berwarna biru cerah dengan superciliary berwarna hitam dan paruh kecil yang runcing.,['superciliary'],['superciliary']
this little guy is mostly blue with a black superciliary and short pointy bill.,makhluk kecil ini sebagian besar berwarna biru dengan alis hitam dan paruh runcing pendek.,['superciliary'],[]
"blue head, black supercilary, white breast and sides, black back and winglets, short bill, short tarsus","kepala biru, supercilary hitam, dada dan samping putih, punggung dan sayap hitam, paruh pendek, tarsus pendek",['supercilary'],['supercilary']
"a colorful bird, this tiny fowl has a golden and white breast, golden crown with blue superciliary and throat feathers as well as blue tail feathers.","Burung berwarna-warni, unggas mungil ini memiliki dada berwarna emas dan putih, mahkota emas dengan superciliary dan tenggorokan berwarna biru, serta bulu ekor berwarna biru.",['superciliary'],['superciliary']
"a small multicolored bird, with a blue superciliary, with 1 black wingbar.","seekor burung kecil beraneka warna, dengan superciliary berwarna biru, dengan 1 garis sayap berwarna hitam.",['superciliary'],['superciliary']
"this magnificent bird has a white belly, yellow breast, blue neck and crown, with black superciliary and white wingbars.","burung yang luar biasa ini memiliki perut berwarna putih, dada berwarna kuning, leher dan mahkota berwarna biru, dengan superciliary berwarna hitam dan garis sayap berwarna putih.",['superciliary'],['superciliary']
"a small bird with bright blue head and blue wings, a white belly, and black superciliary.","seekor burung kecil dengan kepala biru cerah dan sayap biru, perut putih, dan superciliary hitam.",['superciliary'],['superciliary']
the birds eyebrow and supercillary is blue and has a short flat beak.,alis dan supercillary burung berwarna biru dan mempunyai paruh pendek dan rata.,['supercillary'],['supercillary']
"this multicolored bird is host to a red breast and belly, bright blue superciliary, crown and neck, and a combination of yellow, red, green and black wings.","burung beraneka warna ini memiliki dada dan perut berwarna merah, superciliary berwarna biru cerah, mahkota dan leher, serta kombinasi sayap kuning, merah, hijau dan hitam.",['superciliary'],['superciliary']
"this bird's body is red with a triangular, orange beak and black superciliary and throat.",Tubuh burung ini berwarna merah dengan paruh berbentuk segitiga berwarna oranye serta superciliary dan tenggorokan berwarna hitam.,['superciliary'],['superciliary']
"a small red bird with yellow malar stripe, black throat, black superciliary, and a small red beak.","burung kecil berwarna merah dengan garis malar kuning, tenggorokan hitam, superciliary hitam, dan paruh kecil berwarna merah.",['superciliary'],['superciliary']
"a small bird with light and dark red feathers, a red, downward-curved bill, and black superciliary and throat sections.","seekor burung kecil dengan bulu berwarna merah terang dan gelap, paruh berwarna merah melengkung ke bawah, serta bagian superciliary dan tenggorokan berwarna hitam.",['superciliary'],['superciliary']
this bird is mostly red with a black patch around its bill and superciliary.,burung ini sebagian besar berwarna merah dengan bercak hitam di sekitar paruh dan superciliary.,['superciliary'],['superciliary']
this bird is red with a black superciliary and a red pointed beak. its head is smaller compared to its body and it has a tufted crown.,burung ini berwarna merah dengan superciliary berwarna hitam dan paruh runcing berwarna merah. kepalanya lebih kecil dibandingkan tubuhnya dan memiliki mahkota berumbai.,['superciliary'],['superciliary']
this is a red bird that has black around its superciliary and throat.,ini adalah burung berwarna merah yang memiliki warna hitam di sekitar superciliary dan tenggorokannya.,['superciliary'],['superciliary']
"this bird has a red crown, a black superciliary, and a red breast","burung ini memiliki mahkota berwarna merah, superciliary berwarna hitam, dan dada berwarna merah",['superciliary'],['superciliary']
a small red bird with a very short red bill and a black superciliary and cheek patch.,seekor burung kecil berwarna merah dengan paruh merah yang sangat pendek serta superciliary dan pipi berwarna hitam.,['superciliary'],['superciliary']
this is a small red bird with black around its superciliary and throat.,ini adalah burung kecil berwarna merah dengan warna hitam di sekitar alis dan tenggorokannya.,['superciliary'],[]
this red bird has a red bill and a black mask from throat to superciliary.,Burung berwarna merah ini memiliki paruh berwarna merah dan topeng berwarna hitam mulai dari tenggorokan hingga superciliary.,['superciliary'],['superciliary']
"this brightly colored red bird has a black throat and superciliary, as well as a wider orange-red bill.","burung berwarna merah cerah ini memiliki tenggorokan dan alis berwarna hitam, serta paruh berwarna oranye-merah yang lebih lebar.",['superciliary'],[]
"this small bird is red with a red bill, its superciliary is black.","burung kecil ini berwarna merah dengan paruh berwarna merah, superciliary berwarna hitam.",['superciliary'],['superciliary']
"this bird has a wide bright red bill, breast, wings, and crown, as well as a black superciliary and throat","burung ini memiliki paruh, dada, sayap, dan mahkota lebar berwarna merah cerah, serta superciliary dan tenggorokan berwarna hitam",['superciliary'],['superciliary']
this small bright red bird has a small pointed red bill and a black superciliary and a black throat.,burung kecil berwarna merah cerah ini memiliki paruh kecil berwarna merah runcing dan superciliary berwarna hitam serta tenggorokan berwarna hitam.,['superciliary'],['superciliary']
this bird has a red crown with black superciliary and red belly.,burung ini mempunyai mahkota berwarna merah dengan superciliary berwarna hitam dan perut berwarna merah.,['superciliary'],['superciliary']
this bird is nearly all red with a black superciliary and neck region.,burung ini hampir seluruhnya berwarna merah dengan daerah alis dan leher berwarna hitam.,['superciliary'],[]
this bird is mostly red with a black superciliary and short blunt bill.,burung ini sebagian besar berwarna merah dengan alis berwarna hitam dan paruh pendek tumpul.,['superciliary'],[]
this small bird is red in color and his supercillary and inner stripe is black in color,burung kecil ini berwarna merah dan garis supercillary serta bagian dalamnya berwarna hitam,['supercillary'],['supercillary']
"this is a red bird that has a black throat and superciliary, its nape is standing upwards.","ini adalah burung berwarna merah yang tenggorokannya berwarna hitam dan superciliary, tengkuknya berdiri ke atas.",['superciliary'],['superciliary']
"this colorful bird has a short bright red bill, a red crown, and a black superciliary.","burung berwarna-warni ini memiliki paruh pendek berwarna merah cerah, mahkota berwarna merah, dan superciliary berwarna hitam.",['superciliary'],['superciliary']
this bird is nearly all red with a black superciliary and neck.,burung ini hampir semuanya berwarna merah dengan superciliary dan leher berwarna hitam.,['superciliary'],['superciliary']
"this is a red bird with black throat and superciliary, it's beak is thick, short and pointed.","Ini adalah burung berwarna merah dengan tenggorokan hitam dan superciliary, paruhnya tebal, pendek dan runcing.",['superciliary'],['superciliary']
a medium bright red bird with a black supercillary and red beak.,burung berwarna merah cerah sedang dengan supercillary hitam dan paruh merah.,['supercillary'],['supercillary']
this little bird is nearly all red with a black superciliary and neck.,burung kecil ini hampir semuanya berwarna merah dengan superciliary dan leher berwarna hitam.,['superciliary'],['superciliary']
"this is a small red bird with a blunt red bill, it's whole body is red, with the exception of a black area on it's throat and superciliary.","Ini adalah burung kecil berwarna merah dengan paruh merah tumpul, seluruh tubuhnya berwarna merah, kecuali area hitam di tenggorokan dan superciliary.",['superciliary'],['superciliary']
this red bird has a red bill and a black supercillary.,burung berwarna merah ini memiliki paruh berwarna merah dan supercillary berwarna hitam.,['supercillary'],['supercillary']
this bird is mostly red with a wide red bill and a black ring from its superciliary around its bill to its throat.,burung ini sebagian besar berwarna merah dengan paruh lebar berwarna merah dan cincin hitam mulai dari alis di sekitar paruh hingga tenggorokan.,['superciliary'],[]
this bird is nearly all red with a black superciliary and red bill.,burung ini hampir semuanya berwarna merah dengan superciliary hitam dan paruh merah.,['superciliary'],['superciliary']
"a brightly red colored bird with a sharp, pointed crown and a black superciliary.",burung berwarna merah cerah dengan mahkota runcing dan runcing serta superciliary berwarna hitam.,['superciliary'],['superciliary']
this bird is mostly red with a black superciliary and neck.,burung ini sebagian besar berwarna merah dengan superciliary dan leher berwarna hitam.,['superciliary'],['superciliary']
"this is a red bird with a long tail and a black supercillary, and the beak is short and pointed.","ini adalah burung berwarna merah dengan ekor panjang dan supercillary hitam, dan paruhnya pendek dan runcing.",['supercillary'],['supercillary']
this particular bird is all red with a black superciliary type mask.,burung ini semuanya berwarna merah dengan topeng jenis superciliary berwarna hitam.,['superciliary'],['superciliary']
"this little bird has a green with white speckled belly and breast, with a brown crown and black superciliary.","Burung kecil ini memiliki perut dan dada berwarna hijau dengan bintik-bintik putih, dengan mahkota berwarna coklat dan superciliary berwarna hitam.",['superciliary'],['superciliary']
"this bird has green wings, white feathers ringed with black on its breast and crown, a black malar stripe, blue superciliary, and red eyerings.","burung ini mempunyai sayap berwarna hijau, bulu berwarna putih dengan lingkar hitam pada bagian dada dan mahkotanya, garis malar hitam, superciliary berwarna biru, dan cincin mata merah.",['superciliary'],['superciliary']
"this bird has a yellow belly and breast with a green wing, and black superciliary.","burung ini memiliki perut dan dada berwarna kuning dengan sayap berwarna hijau, dan superciliary berwarna hitam.",['superciliary'],['superciliary']
"a white spotted bird with a black superciliary, green primaries, and light green coverts.","burung berbintik putih dengan superciliary hitam, warna bulu primer hijau, dan bulu hijau muda.",['superciliary'],['superciliary']
this small bird has a white superciliary surrounded by light yellow-brown with a yellow throat and breast which fade into a cream colored belly.,Burung kecil ini memiliki superciliary berwarna putih dikelilingi warna kuning kecoklatan muda dengan tenggorokan dan dada berwarna kuning yang memudar menjadi perut berwarna krem.,['superciliary'],['superciliary']
"this bird is brown on the crown, nape, and back and yellow on the throat and belly with white on the abdomen and supercillary.","burung ini berwarna coklat pada bagian ubun-ubun, tengkuk, dan punggung serta berwarna kuning pada bagian tenggorokan dan perut dengan warna putih pada bagian perut dan supercillary.",['supercillary'],['supercillary']
"a yellow and brown bird with a white superciliary, a yellow throat, breast, and belly, a white abdomen, and light brown wings.","burung berwarna kuning dan coklat dengan superciliary berwarna putih, tenggorokan, dada, dan perut berwarna kuning, perut berwarna putih, dan sayap berwarna coklat muda.",['superciliary'],['superciliary']
"the bird has yellow throat, breast and white abdomen and superciliary, black beak, wings, tarsus and feet.","burung ini mempunyai tenggorokan berwarna kuning, dada dan perut berwarna putih serta superciliary, paruh, sayap, tarsus dan kaki berwarna hitam.",['superciliary'],['superciliary']
"this is a grey bird with a white superciliary, yellow throat and breast, white abdomen to undertail coverts.","ini adalah burung abu-abu dengan superciliary putih, tenggorokan dan dada kuning, perut putih hingga bulu ekor bawah.",['superciliary'],['superciliary']
"a small grey bird with a grey crown, white superciliary, black cheek patch and yellow throat and breast.","seekor burung kecil berwarna abu-abu dengan mahkota abu-abu, superciliary berwarna putih, bercak pipi hitam, serta tenggorokan dan dada berwarna kuning.",['superciliary'],['superciliary']
"this little bird has a yellow belly and breast, with a black superciliary and white eyebrow.","burung kecil ini memiliki perut dan dada berwarna kuning, dengan alis berwarna hitam dan alis berwarna putih.",['superciliary'],[]
"this bird has a bright yellow beautiful belly and breast and throat, a white superciiliary with black side patch and cheek patch, and brown wings.","burung ini memiliki perut, dada, dan tenggorokan indah berwarna kuning cerah, superciliary berwarna putih dengan bercak samping dan bercak pipi berwarna hitam, serta sayap berwarna coklat.",['superciiliary'],['superciliary']
"a small bird with gray back, yellow-orange belly, white superciliary, and small black beak.","burung kecil dengan punggung berwarna abu-abu, perut kuning-oranye, superciliary berwarna putih, dan paruh kecil berwarna hitam.",['superciliary'],['superciliary']
"this little bird has a white crown, black superciliary and bright yellow throat, breast and belly.","burung kecil ini memiliki mahkota berwarna putih, superciliary berwarna hitam, serta tenggorokan, dada, dan perut berwarna kuning cerah.",['superciliary'],['superciliary']
"a grey and yellow bird with grey superciliary, black bill, and yellow throat.","burung berwarna abu-abu dan kuning dengan superciliary abu-abu, paruh hitam, dan tenggorokan kuning.",['superciliary'],['superciliary']
"a bird with white superciliaries, black bill, and yellow breast.","seekor burung dengan superciliary berwarna putih, paruh hitam, dan dada kuning.",['superciliaries'],['superciliary']
"this round looking bird has a tan belly, brown side and flank and a black crown, eyebrow, superciliary, throat, nape, back, coverts and wingbar that is striped with white.","Burung yang tampak bulat ini memiliki perut berwarna coklat, bagian samping dan panggul berwarna coklat serta mahkota, alis tenggorokan, tengkuk, punggung, bulu dan garis sayap berwarna hitam yang bergaris putih.",['superciliary'],[]
this bird has a red orange cheek patch and superciliary on its black head.,burung ini memiliki bercak pipi berwarna merah jingga dan superciliary di kepalanya yang berwarna hitam.,['superciliary'],['superciliary']
"this is a predominantly black bird with a green rump, white malar stripes, and red supercillary and cheek patch.","ini adalah burung yang didominasi warna hitam dengan pantat hijau, garis malar putih, dan supercillary merah serta bercak pipi.",['supercillary'],['supercillary']
"this bird is nearly all black with an orange superciliary, and blue cheek patch.","burung ini hampir seluruhnya berwarna hitam dengan superciliary berwarna jingga, dan bercak pipi berwarna biru.",['superciliary'],['superciliary']
this bird has a black crown with an orange superciliary and large black webbed feet.,burung ini mempunyai mahkota berwarna hitam dengan superciliary berwarna jingga dan kaki berselaput hitam yang besar.,['superciliary'],['superciliary']
"this bird has a black crown and neck, orange superciliary, and a long flat bill.","burung ini memiliki mahkota dan leher berwarna hitam, superciliary berwarna oranye, dan paruh datar yang panjang.",['superciliary'],['superciliary']
the bird has a superciliary that is vividly bright orange while the rest of his body and feet are black.,burung ini memiliki superciliary yang berwarna oranye terang sedangkan seluruh tubuh dan kakinya berwarna hitam.,['superciliary'],['superciliary']
"this large bird has a long flat bill with a bright red patch in the superciliary area, with a long black neck and body, with a white patch near its rump, with large, black, webbed feet.","Burung berukuran besar ini memiliki paruh yang panjang dan pipih dengan bercak merah terang di daerah alis, dengan leher dan badan panjang berwarna hitam, dengan bercak putih di dekat pantatnya, dengan kaki berselaput besar berwarna hitam.",['superciliary'],[]
this bird has wings that are black and has a red superciliary,burung ini mempunyai sayap yang berwarna hitam dan memiliki superciliary berwarna merah,['superciliary'],['superciliary']
this bird is mostly black with a red superciliary and long hooked bill.,burung ini sebagian besar berwarna hitam dengan paruh berwarna merah dan bengkok panjang.,['superciliary'],[]
"a bird with a white and black medium sized bill, a long neck, black feathers, an orange superciliari and eyering, and a blew cheek patch","burung dengan paruh berukuran sedang berwarna putih dan hitam, leher panjang, bulu hitam, superciliari dan cincin mata berwarna jingga, serta pipi bercak tiup",['superciliari'],['superciliari']
this medium sized bird is mostly black with red supercillary and a long bill that has a blue gradient.,burung berukuran sedang ini sebagian besar berwarna hitam dengan supercillary merah dan paruh panjang yang memiliki gradasi biru.,['supercillary'],['supercillary']
"this large bird is mostly black with a red superciliary, and a long blunt bill.","burung besar ini sebagian besar berwarna hitam dengan superciliary berwarna merah, dan paruh yang panjang dan tumpul.",['superciliary'],['superciliary']
"a unique bird with very dark coloring, a long bill, an orange superciliary and a spiked crown.","burung unik dengan warna sangat gelap, paruh panjang, superciliary berwarna jingga, dan mahkota berduri.",['superciliary'],['superciliary']
"this bird has a long, rotund neck, black fluffy crown and bright orange eye superciliary.","burung ini mempunyai leher yang panjang dan bulat, mahkota berbulu hitam dan mata superciliary berwarna jingga cerah.",['superciliary'],['superciliary']
"a bird with a large hooked bill, red superciliary, black throat, and rusty red plumage across the rest of its body.","seekor burung dengan paruh bengkok besar, superciliary merah, tenggorokan hitam, dan bulu merah berkarat di seluruh tubuhnya.",['superciliary'],['superciliary']
"this bird is very large with a long neck, and bill, with a bright red superciliary.","burung ini berukuran sangat besar dengan leher panjang, dan paruh, dengan superciliary berwarna merah cerah.",['superciliary'],['superciliary']
